cut,type_pre,type_post,theta,exp_theta
ol_vpn,C3,LPT54,0.0,1.0
ol_vpn,C3,MeVP17,-2.3025851249694824,0.10000000149011612
ol_vpn,C3,MeVP23,-2.3025851249694824,0.10000000149011612
ol_vpn,C3,MeVP51,-2.3025851249694824,0.10000000149011612
ol_vpn,C3,MeVP9,-1.7787847518920898,0.16884320974349976
ol_vpn,L1,MeVP5,0.0,1.0
ol_vpn,L1,MeVP9,1.0930256843566895,2.9832866191864014
ol_vpn,L1,MeVPMe2,0.0,1.0
ol_vpn,L1,TmY14,0.0,1.0
ol_vpn,L2,MeVP51,-1.3805811405181885,0.2514323890209198
ol_vpn,L2,aMe12,0.0,1.0
ol_vpn,L3,MeTu3c,0.0,1.0
ol_vpn,L3,MeVP11,-0.3795117437839508,0.6841953992843628
ol_vpn,L3,MeVP22,0.0,1.0
ol_vpn,L3,MeVPLo2,0.0,1.0
ol_vpn,L5,MeVP8,-0.0447542667388916,0.9562324285507202
ol_vpn,L5,MeVP9,0.17870500683784485,1.1956679821014404
ol_vpn,L5,MeVPLo2,0.0,1.0
ol_vpn,L5,MeVPLp1,-2.6822126528713852e-06,0.9999973177909851
ol_vpn,L5,MeVPMe2,-0.7545098662376404,0.4702410399913788
ol_vpn,L5,TmY14,0.0,1.0
ol_vpn,Mi1,LPLC2,0.0,1.0
ol_vpn,Mi1,MeTu4a,0.0,1.0
ol_vpn,Mi1,MeVP10,0.0,1.0
ol_vpn,Mi1,MeVP17,0.0,1.0
ol_vpn,Mi1,MeVP26,2.3025851249694824,10.0
ol_vpn,Mi1,MeVP4,2.3025851249694824,10.0
ol_vpn,Mi1,MeVP58,-1.9457788467407227,0.14287590980529785
ol_vpn,Mi1,MeVP9,-0.5334185361862183,0.5865962505340576
ol_vpn,Mi1,MeVPLo1,2.3025851249694824,10.0
ol_vpn,Mi1,MeVPLp1,-6.306370050879195e-05,0.9999369382858276
ol_vpn,Mi1,MeVPMe1,-0.5919671654701233,0.5532379150390625
ol_vpn,Mi1,MeVPMe2,-1.001267671585083,0.36741340160369873
ol_vpn,Mi1,TmY14,0.0,1.0
ol_vpn,Mi4,LC12,0.0,1.0
ol_vpn,Mi4,MeTu4a,0.0,1.0
ol_vpn,Mi4,MeTu4c,0.0,1.0
ol_vpn,Mi4,MeTu4f,0.0,1.0
ol_vpn,Mi4,MeVP11,0.549333930015564,1.732098937034607
ol_vpn,Mi4,MeVP12,0.0,1.0
ol_vpn,Mi4,MeVP18,0.6651298999786377,1.9447431564331055
ol_vpn,Mi4,MeVP24,0.3860979378223419,1.4712287187576294
ol_vpn,Mi4,MeVP28,0.8333476185798645,2.301008701324463
ol_vpn,Mi4,MeVP3,0.0,1.0
ol_vpn,Mi4,MeVP4,2.3025851249694824,10.0
ol_vpn,Mi4,MeVP5,0.0,1.0
ol_vpn,Mi4,MeVP53,2.3025851249694824,10.0
ol_vpn,Mi4,MeVPLp1,0.00353117473423481,1.0035374164581299
ol_vpn,Mi4,MeVPMe1,1.1069395542144775,3.0250861644744873
ol_vpn,Mi4,MeVPMe2,-0.37250345945358276,0.6890072822570801
ol_vpn,Mi4,MeVPMe9,0.0,1.0
ol_vpn,Mi4,MeVPaMe1,0.17417791485786438,1.1902673244476318
ol_vpn,Mi4,TmY14,0.0,1.0
ol_vpn,Mi4,aMe5,0.0,1.0
ol_vpn,Mi9,MeTu3c,0.0,1.0
ol_vpn,Mi9,MeVP10,0.0,1.0
ol_vpn,Mi9,MeVP12,0.0,1.0
ol_vpn,Mi9,MeVP24,1.0289747714996338,2.7981953620910645
ol_vpn,Mi9,MeVP26,-0.9075523018836975,0.4035106897354126
ol_vpn,Mi9,MeVP3,0.0,1.0
ol_vpn,Mi9,MeVP38,0.0,1.0
ol_vpn,Mi9,MeVP4,2.3025851249694824,10.0
ol_vpn,Mi9,MeVP49,0.6348909139633179,1.8868162631988525
ol_vpn,Mi9,MeVP5,0.0,1.0
ol_vpn,Mi9,MeVP51,0.0,1.0
ol_vpn,Mi9,MeVP6,0.0,1.0
ol_vpn,Mi9,MeVPLp1,0.012004274874925613,1.0120766162872314
ol_vpn,Mi9,MeVPMe1,-0.22448964416980743,0.7989238500595093
ol_vpn,Mi9,MeVPMe2,1.4588301181793213,4.300925254821777
