path,LF,RF,LM,RM,LH,RH,clip_id,t,already_composited
frames\WoWScrnShot_091426_034919.jpg,0,1,0,0,0,0,WoWScrnShot_091426_034919,0.0,0
frames\WoWScrnShot_091426_034927.jpg,0,0,0,0,1,0,WoWScrnShot_091426_034927,0.0,0
frames\WoWScrnShot_091426_034929.jpg,0,1,0,0,0,0,WoWScrnShot_091426_034929,0.0,0
frames\WoWScrnShot_091426_034932.jpg,0,1,0,0,0,0,WoWScrnShot_091426_034932,0.0,0
frames\WoWScrnShot_091426_034933.jpg,0,1,0,0,0,0,WoWScrnShot_091426_034933,0.0,0
frames\WoWScrnShot_091426_034934.jpg,0,1,0,0,0,0,WoWScrnShot_091426_034934,0.0,0
frames\WoWScrnShot_091426_034937.jpg,0,1,0,0,0,0,WoWScrnShot_091426_034937,0.0,0
frames\WoWScrnShot_091426_034940.jpg,0,1,0,0,0,0,WoWScrnShot_091426_034940,0.0,0
frames\WoWScrnShot_091426_034944.jpg,0,0,0,0,1,0,WoWScrnShot_091426_034944,0.0,0
frames\WoWScrnShot_091426_034946.jpg,0,1,0,0,0,0,WoWScrnShot_091426_034946,0.0,0
frames\WoWScrnShot_091426_034948.jpg,0,1,0,0,0,0,WoWScrnShot_091426_034948,0.0,0
frames\WoWScrnShot_091426_034949.jpg,0,1,0,0,0,0,WoWScrnShot_091426_034949,0.0,0
frames\WoWScrnShot_091426_034952.jpg,0,1,0,0,0,0,WoWScrnShot_091426_034952,0.0,0
frames\WoWScrnShot_091426_034956.jpg,0,1,0,0,0,0,WoWScrnShot_091426_034956,0.0,0
frames\WoWScrnShot_091426_034958.jpg,0,0,1,0,0,0,WoWScrnShot_091426_034958,0.0,0
frames\WoWScrnShot_091426_035004.jpg,0,0,1,0,1,0,WoWScrnShot_091426_035004,0.0,0
frames\WoWScrnShot_091426_035011.jpg,0,0,1,0,1,0,WoWScrnShot_091426_035011,0.0,0
frames\WoWScrnShot_091426_035020.jpg,0,1,0,0,0,0,WoWScrnShot_091426_035020,0.0,0
frames\WoWScrnShot_091426_035026.jpg,0,0,1,0,1,0,WoWScrnShot_091426_035026,0.0,0
frames\WoWScrnShot_091426_035030.jpg,0,0,1,0,1,0,WoWScrnShot_091426_035030,0.0,0
frames\WoWScrnShot_091426_035032.jpg,1,0,1,0,1,0,WoWScrnShot_091426_035032,0.0,0
frames\WoWScrnShot_091426_035033.jpg,0,0,1,0,1,0,WoWScrnShot_091426_035033,0.0,0
frames\WoWScrnShot_091426_035036.jpg,0,0,1,0,1,0,WoWScrnShot_091426_035036,0.0,0
